LIPID_ID,IL_SMILES,IL_head_id,IL_head_SMILES,Tail1_id,Tail1_SMILES,Tail2_id,Tail2_SMILES,Tail3_id,Tail3_SMILES,Tail4_id,Tail4_SMILES,Active_Site_Class,N_Tails,ARCHITECTURE,REACTION_TYP
LNPhub_3V00000011,CCCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCCC)c1nc(-c2cc(Cl)c(N(CCC(=O)OCCCCCCC)CCC(=O)OCCCCCCC)c(Cl)c2)cs1,M2105,Nc1nc(-c2cc(Cl)c(N)c(Cl)c2)cs1,O17,C=CC(=O)OCCCCCCCCCCCCCCCCC,O17,C=CC(=O)OCCCCCCCCCCCCCCCCC,O7,C=CC(=O)OCCCCCCC,O7,C=CC(=O)OCCCCCCC,PRIMARY_PRIMARY,4.0,ARCH_HEAD_4_TAILS,AZA_MICHAEL_ADDITION
LNPhub_3V00000012,CCCCCOC(=O)CCN1Cc2nc(N(CCC(=O)OCCCCC)CCC(=O)OCCCCC)sc2C1,M1543,Nc1nc2c(s1)CNC2,O5,C=CC(=O)OCCCCC,O5,C=CC(=O)OCCCCC,O5,C=CC(=O)OCCCCC,,,PRIMARY_SECONDARY,3.0,ARCH_HEAD_3_TAILS,AZA_MICHAEL_ADDITION
LNPhub_3V00000013,CCCCCCCCCCCCCCCCOC(=O)CCN1CCc2sccc2C1CN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC,M1232,NCC1NCCc2sccc21,O10,C=CC(=O)OCCCCCCCCCC,O10,C=CC(=O)OCCCCCCCCCC,O16,C=CC(=O)OCCCCCCCCCCCCCCCC,,,PRIMARY_SECONDARY,3.0,ARCH_HEAD_3_TAILS,AZA_MICHAEL_ADDITION
LNPhub_3V00000014,CCCCCCCCCCCCCCCCOC(=O)CCN(CCN1CCOCC1)c1c(N(CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC)n(CCC)c(=O)[nH]c1=O,M312,CCCn1c(N)c(NCCN2CCOCC2)c(=O)[nH]c1=O,O13,C=CC(=O)OCCCCCCCCCCCCC,O13,C=CC(=O)OCCCCCCCCCCCCC,O16,C=CC(=O)OCCCCCCCCCCCCCCCC,,,PRIMARY_SECONDARY,3.0,ARCH_HEAD_3_TAILS,AZA_MICHAEL_ADDITION
LNPhub_3V00000015,CCCCCCCCCCCCCCCCCCCCCOC(=O)CCN(CCO)CCc1ccc(N(CCC(=O)OCCCCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCCCCC)cc1,M466,Nc1ccc(CCNCCO)cc1,O17,C=CC(=O)OCCCCCCCCCCCCCCCCC,O17,C=CC(=O)OCCCCCCCCCCCCCCCCC,O21,C=CC(=O)OCCCCCCCCCCCCCCCCCCCCC,,,PRIMARY_SECONDARY,3.0,ARCH_HEAD_3_TAILS,AZA_MICHAEL_ADDITION
LNPhub_3V00000016,CCCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCCC)c1ncc(CCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC)s1,M409,NCCc1cnc(N)s1,O12,C=CC(=O)OCCCCCCCCCCCC,O12,C=CC(=O)OCCCCCCCCCCCC,O17,C=CC(=O)OCCCCCCCCCCCCCCCCC,O17,C=CC(=O)OCCCCCCCCCCCCCCCCC,PRIMARY_PRIMARY,4.0,ARCH_HEAD_4_TAILS,AZA_MICHAEL_ADDITION
LNPhub_3V00000017,CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)c1cc(CN(CCC(=O)OCCCCCC)CCC(=O)OCCCCCC)ccc1Cl,M1683,NCc1ccc(Cl)c(N)c1,O6,C=CC(=O)OCCCCCC,O6,C=CC(=O)OCCCCCC,O12,C=CC(=O)OCCCCCCCCCCCC,O12,C=CC(=O)OCCCCCCCCCCCC,PRIMARY_PRIMARY,4.0,ARCH_HEAD_4_TAILS,AZA_MICHAEL_ADDITION
LNPhub_3V00000018,CCCCCCCCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCCCCCCCC)c1ccc(Br)c(Cl)c1N(CCC(=O)OCCCCCCCCC)CCC(=O)OCCCCCCCCC,M1802,Nc1ccc(Br)c(Cl)c1N,O22,C=CC(=O)OCCCCCCCCCCCCCCCCCCCCCC,O22,C=CC(=O)OCCCCCCCCCCCCCCCCCCCCCC,O9,C=CC(=O)OCCCCCCCCC,O9,C=CC(=O)OCCCCCCCCC,PRIMARY_PRIMARY,4.0,ARCH_HEAD_4_TAILS,AZA_MICHAEL_ADDITION
LNPhub_3V00000019,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)c1nc(C(=O)NN(CCC(=O)OCCCCCCC)CCC(=O)OCCCCCCC)cs1,M1819,NNC(=O)c1csc(N)n1,O7,C=CC(=O)OCCCCCCC,O7,C=CC(=O)OCCCCCCC,O14,C=CC(=O)OCCCCCCCCCCCCCC,O14,C=CC(=O)OCCCCCCCCCCCCCC,PRIMARY_PRIMARY,4.0,ARCH_HEAD_4_TAILS,AZA_MICHAEL_ADDITION
LNPhub_3V00000020,CCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCC)c1ccc(CN(CCC(=O)OCCCCCCCCCCC)c2ccccc2)cc1,M1448,Nc1ccc(CNc2ccccc2)cc1,O13,C=CC(=O)OCCCCCCCCCCCCC,O13,C=CC(=O)OCCCCCCCCCCCCC,O11,C=CC(=O)OCCCCCCCCCCC,,,PRIMARY_SECONDARY,3.0,ARCH_HEAD_3_TAILS,AZA_MICHAEL_ADDITION
