LIPID_ID,IL_SMILES,IL_head_id,IL_head_SMILES,Tail1_id,Tail1_SMILES,Tail2_id,Tail2_SMILES,ARCHITECTURE,REACTION_TYP
LNPhub_1V00000016,CCCCCCCCCCCCCCNC(=O)C(NCCN(CCN)CCN)C(C)(C)C1CC1,A17,NCCN(CCN)CCN,B155,CC(C)(C=O)C1CC1,C7,[C-]#[N+]CCCCCCCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000017,CCCCCCCC/C=C\CCCCCCCCNC(=O)C(NC1CCNCC1)c1ccc(S(N)(=O)=O)cc1C,A20,NC1CCNCC1,B90,Cc1cc(S(N)(=O)=O)ccc1C=O,C8,[C-]#[N+]CCCCCCCC/C=C\CCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000018,CCCCCCCC/C=C\CCCCCCCCNC(=O)C(N[C@H]1C[C@H](C2CC2(F)F)C1)c1n[nH]c2c(Br)cc(Cl)cc12,A413,N[C@H]1C[C@H](C2CC2(F)F)C1,B137,O=Cc1n[nH]c2c(Br)cc(Cl)cc12,C8,[C-]#[N+]CCCCCCCC/C=C\CCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000019,CCCCCCCCC=CCCCCCCCCNC(=O)C(NCCCN1CCN(CCCN)CC1)c1c(OC(=O)C(C)CCCCC)cc(OC(=O)C(C)CCCCC)cc1OC(=O)C(C)CCCCC,A25,NCCCN1CCN(CCCN)CC1,B11,CCCCCC(C)C(=O)Oc1cc(OC(=O)C(C)CCCCC)c(C=O)c(OC(=O)C(C)CCCCC)c1,C4,[C-]#[N+]CCCCCCCCC=CCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000020,CCCCCCCCC=CCCCCCCCCNC(=O)C(CCCCCCCCCCCCCCC)Nc1cc(Br)nc(SC)n1,A665,CSc1nc(N)cc(Br)n1,B33,CCCCCCCCCCCCCCCC=O,C4,[C-]#[N+]CCCCCCCCC=CCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000021,CCCCCCCCC=CCCCCCCCCNC(=O)C(NCc1ccc2ncnn2c1)c1nc(C(C)(C)C)no1,A1023,NCc1ccc2ncnn2c1,B201,CC(C)(C)c1noc(C=O)n1,C4,[C-]#[N+]CCCCCCCCC=CCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000022,CCCCCCCCCCNC(=O)C(NCC1CCC(CN)CC1)[C@H]1C[C@H](C(C)C)CCN1C(=O)OC(C)(C)C,A189,NCC1CCC(CN)CC1,B83,CC(C)[C@@H]1CCN(C(=O)OC(C)(C)C)[C@H](C=O)C1,C6,[C-]#[N+]CCCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000023,CCCCCCCCCCCNC(=O)C(CCCC(=O)OCC(CCCCCC)CCCCCCCC)NCc1cc(F)ccc1F,A188,NCc1cc(F)ccc1F,B36,CCCCCCCCC(CCCCCC)COC(=O)CCCC=O,C1,[C-]#[N+]CCCCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000024,Cc1c(F)cc(F)cc1C(NCCCc1ccc(OC(F)(F)F)cc1)C(=O)NCCCN(C)C,A387,NCCCc1ccc(OC(F)(F)F)cc1,B89,Cc1c(F)cc(F)cc1C=O,C9,[C-]#[N+]CCCN(C)C,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000025,CCCCCCCCCCCCNC(=O)C(C#Cc1ccc(Br)cc1)Nc1ccc(O)cc1C(=O)OC(C)(C)C,A469,CC(C)(C)OC(=O)c1cc(O)ccc1N,B116,O=CC#Cc1ccc(Br)cc1,C5,[C-]#[N+]CCCCCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000026,CCCCCCCCCCNC(=O)C(Nc1ccc2ccsc2n1)c1cc(OC(=O)CCCCCCC)cc(OC(=O)CCCCCCC)c1,A655,Nc1ccc2ccsc2n1,B19,CCCCCCCC(=O)Oc1cc(C=O)cc(OC(=O)CCCCCCC)c1,C6,[C-]#[N+]CCCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000027,[C-]#[N+]CCN(CC[N+]#[C-])CCNC(=O)C(NCCCc1ccccc1)c1cc(C)nc(Br)c1F,A222,NCCCc1ccccc1,B123,Cc1cc(C=O)c(F)c(Br)n1,C11,[C-]#[N+]CCN(CC[N+]#[C-])CC[N+]#[C-],ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000028,CCCCCCCCCCCCCCNC(=O)C(NC1(COCCCC)CCC1)c1ccc(C(=O)OC)c([N+](=O)[O-])c1,A357,CCCCOCC1(N)CCC1,B110,COC(=O)c1ccc(C=O)cc1[N+](=O)[O-],C7,[C-]#[N+]CCCCCCCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000029,CCCCCCCCCCCCCCCCCCNC(=O)C(NCCCCNC(=O)c1ccc(OC)c(N2CCC(=O)NC2=O)c1)C(C)(C)CC(F)(F)F,A712,COc1ccc(C(=O)NCCCCN)cc1N1CCC(=O)NC1=O,B200,CC(C)(C=O)CC(F)(F)F,C2,[C-]#[N+]CCCCCCCCCCCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000030,CCCCCCCCCCCCCCNC(=O)C(Nc1cccc(F)c1)C(C)(C)C1CC1,A162,Nc1cccc(F)c1,B155,CC(C)(C=O)C1CC1,C7,[C-]#[N+]CCCCCCCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000031,CCCCCCCCCCCCCCCCNC(=O)C(NCCCCC(C)CN)c1conc1COC,A330,CC(CN)CCCCN,B180,COCc1nocc1C=O,C3,[C-]#[N+]CCCCCCCCCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000032,COC(=O)[C@@](C)(CO)NC(C(=O)NCCCN(C)C)C(C)(C)CC(F)(F)F,A663,COC(=O)[C@@](C)(N)CO,B200,CC(C)(C=O)CC(F)(F)F,C9,[C-]#[N+]CCCN(C)C,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000033,COc1ccc(C)nc1C(NC(=O)CNC1Cc2ccccc2C1)C(=O)NCCCN(C)C,A822,NC(=O)CNC1Cc2ccccc2C1,B195,COc1ccc(C)nc1C=O,C9,[C-]#[N+]CCCN(C)C,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000034,CCCCCCCCCCCCCCNC(=O)C(NCCCNc1ccc(Br)cc1)c1cncn1CCC,A827,N#CCCNc1ccc(Br)cc1,B175,CCCn1cncc1C=O,C7,[C-]#[N+]CCCCCCCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000035,[C-]#[N+]CCN(CC[N+]#[C-])CCNC(=O)C(NC(C)CCc1nccs1)c1ccc(C(=O)N(C)C)cc1F,A514,CC(N)CCc1nccs1,B58,CN(C)C(=O)c1ccc(C=O)c(F)c1,C11,[C-]#[N+]CCN(CC[N+]#[C-])CC[N+]#[C-],ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000036,CCCCCCCCCCCNC(=O)C(Nc1cc(C(=O)OC)ncc1OC)c1cc(I)cc(I)c1,A707,COC(=O)c1cc(N)c(OC)cn1,B86,O=Cc1cc(I)cc(I)c1,C1,[C-]#[N+]CCCCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000037,CCCCCCCCCCCCCCNC(=O)C(NCCC)c1c(OC(=O)CCC(CC)CCCC)cc(OC(=O)CCC(CC)CCCC)cc1OC(=O)CCC(CC)CCCC,A219,CCCN,B9,CCCCC(CC)CCC(=O)Oc1cc(OC(=O)CCC(CC)CCCC)c(C=O)c(OC(=O)CCC(CC)CCCC)c1,C7,[C-]#[N+]CCCCCCCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
LNPhub_1V00000038,CCCCCCCCC=CCCCCCCCCNC(=O)C(NC(=O)C1CCCN1C)c1ccc(Cl)c(C(F)F)c1,A94,CN1CCCC1C(N)=O,B140,O=Cc1ccc(Cl)c(C(F)F)c1,C4,[C-]#[N+]CCCCCCCCC=CCCCCCCCC,ARCH_HEAD_TAILA_TAILB,3CR
